STATION,DATE,AWND,DYFG,DYTS,PRCP,TAVG,TMAX,TMIN
USW00094908,2010-01,9.6,22,,1.77,15.2,21.3,9.2
USW00094908,2010-02,8.3,18,,0.86,20.4,28.5,12.3
USW00094908,2010-03,8.5,15,1,1.05,40.6,50,31.2
USW00094908,2010-04,11.2,9,4,5.78,53.9,64.7,43
USW00094908,2010-05,9.2,14,3,4.79,59.8,69.9,49.6
USW00094908,2010-06,7.6,22,13,7.74,69.5,78.8,60.2
USW00094908,2010-07,7.2,18,5,12.69,73.7,82.7,64.8
USW00094908,2010-08,6.7,24,6,3.6,72.8,81.9,63.8
USW00094908,2010-09,9.2,16,7,2.48,61.4,72,50.8
USW00094908,2010-10,9.2,5,1,1.5,52.3,65.3,39.4
USW00094908,2010-11,11.4,15,2,1.37,37.9,47.2,28.7
USW00094908,2010-12,9.6,26,,3.09,15.8,23.8,7.9
USW00094908,2011-01,10.1,24,,1,15.7,22.2,9.2
USW00094908,2011-02,11.2,19,1,2.3,21.2,28.6,13.8
USW00094908,2011-03,9.8,17,3,2.28,34,42.2,25.7
USW00094908,2011-04,12.1,17,4,5.07,46.3,55.2,37.4
USW00094908,2011-05,11.2,17,5,2.56,57.9,68.2,47.7
USW00094908,2011-06,9.2,17,8,3.52,68.7,78.2,59.1
USW00094908,2011-07,6.5,24,8,16.01,76.3,85.8,66.8
USW00094908,2011-08,5.6,16,4,3.3,70.5,80.3,60.7
USW00094908,2011-09,7.8,18,2,2.51,58.4,68.1,48.8
USW00094908,2011-10,8.9,,2,1.26,52,63.3,40.7
USW00094908,2011-11,11.9,5,,3.85,39.3,48.6,30
USW00094908,2011-12,10.1,11,,2.68,30.4,37.7,23.2
USW00094908,2012-01,11.6,5,,1.24,23.9,33.2,14.6
USW00094908,2012-02,10.7,8,,1.31,28.1,35.3,20.9
USW00094908,2012-03,12.1,11,5,2.72,50.2,60,40.3
USW00094908,2012-04,11.4,8,4,2.29,48.9,59.1,38.7
USW00094908,2012-05,11.2,4,5,3.28,63.2,74.7,51.7
USW00094908,2012-06,9.4,5,3,1.42,70.1,81.7,58.6
USW00094908,2012-07,6.9,7,1,0.46,78.2,89.9,66.5
USW00094908,2012-08,6.3,3,3,4.01,69.7,81.8,57.7
USW00094908,2012-09,8.1,5,3,1.17,60,73.2,46.7
USW00094908,2012-10,9.6,13,1,2.62,47.7,58.3,37.1
USW00094908,2012-11,9.2,6,1,1.16,38,47.3,28.7
USW00094908,2012-12,10.1,13,,2.38,28.3,36,20.7
USW00094908,2013-01,11.9,10,2,1.72,20.6,29.9,11.3
USW00094908,2013-02,11.6,10,,1.7,21.8,29.2,14.4
USW00094908,2013-03,10.1,8,,2.57,26.9,34.4,19.4
USW00094908,2013-04,12.3,3,,8.54,44.4,54.4,34.5
USW00094908,2013-05,10.1,9,1,7.06,59,69.1,48.9
USW00094908,2013-06,8.3,7,2,3.63,67.7,76.5,58.8
USW00094908,2013-07,6.7,8,,2.51,70.4,80.7,60.2
USW00094908,2013-08,6.5,6,,2.98,70.4,80.5,60.3
USW00094908,2013-09,8.1,9,,2.37,64.4,75.3,53.6
USW00094908,2013-10,8.9,10,,1.83,49.2,59.3,39.1
USW00094908,2013-11,11.4,5,,1.93,32.6,41.6,23.5
USW00094908,2013-12,10.3,8,,1.24,15.7,24.3,7.1
USW00094908,2014-01,13.9,2,,0.95,9.5,19.9,-0.9
USW00094908,2014-02,11.4,2,,1.53,10.2,19,1.3
USW00094908,2014-03,12.1,6,,1.15,27.5,36.6,18.3
USW00094908,2014-04,13.2,7,1,6,46,56.6,35.4
USW00094908,2014-05,10.3,4,1,2.78,59.3,69.8,48.7
USW00094908,2014-06,9.2,8,2,12.57,69.6,78.6,60.5
USW00094908,2014-07,8.3,1,1,2.08,67.2,76.5,57.9
USW00094908,2014-08,6.9,6,2,3.13,70.2,79.7,60.7
USW00094908,2014-09,7.8,15,6,2.14,60.5,71.3,49.7
USW00094908,2014-10,10.1,12,,3.06,48.8,58.2,39.3
USW00094908,2014-11,12.1,20,,1.19,28.6,37.5,19.7
USW00094908,2014-12,9.6,18,,0.93,28.1,33.7,22.4
USW00094908,2015-01,10.7,24,,0.93,19.6,27.7,11.5
USW00094908,2015-02,11.2,15,,1.37,10.6,20.3,1
USW00094908,2015-03,10.7,13,,0.8,34.2,44.9,23.6
USW00094908,2015-04,11.2,9,4,1.91,49.9,62.2,37.7
USW00094908,2015-05,10.7,19,5,5.78,60,69.3,50.6
USW00094908,2015-06,7.8,21,8,8.35,67.9,77.3,58.6
USW00094908,2015-07,6.9,19,4,1.2,70.6,80.2,60.9
USW00094908,2015-08,8.3,15,4,2.52,68.8,78.7,58.9
USW00094908,2015-09,8.5,16,5,4.03,67.6,77.5,57.8
USW00094908,2015-10,10.5,8,1,2.75,52.1,62.2,41.9
USW00094908,2015-11,12.8,15,2,5.38,40.7,49.7,31.7
USW00094908,2015-12,12.1,27,2,4.19,34.3,40.1,28.5
USW00094908,2016-01,10.7,14,,0.46,,,12.5
USW00094908,2016-02,11.9,16,,0.62,27.2,33.9,20.5
USW00094908,2016-03,11.2,21,4,3.02,40.8,50,31.6
USW00094908,2016-04,12.5,14,2,2.52,47.6,57.1,38.1
USW00094908,2016-05,9.2,13,12,4.33,59,70,48
USW00094908,2016-06,8.5,13,9,7.29,70,80.6,59.5
USW00094908,2016-07,7.6,20,11,7.17,72,80.3,63.7
USW00094908,2016-08,6.7,21,9,3.75,72.1,80.9,63.4
USW00094908,2016-09,9.4,17,7,5.17,66,75.4,56.6
USW00094908,2016-10,9.4,12,7,2.51,55.2,64.6,45.8
USW00094908,2016-11,10.3,14,3,2.59,43.9,53.2,34.6
USW00094908,2016-12,12.3,16,,1.54,21.2,27.1,15.3
USW00094908,2017-01,10.7,19,,2.02,23.8,29.5,18.2
USW00094908,2017-02,11.6,11,4,1.8,34,43.6,24.3
USW00094908,2017-03,13,13,4,2.13,36.1,44,28.2
USW00094908,2017-04,11.9,17,6,5.01,50.6,60.5,40.7
USW00094908,2017-05,10.1,16,7,2.77,57.2,67.5,46.9
USW00094908,2017-06,9.8,8,11,3.06,69.6,80.7,58.5
USW00094908,2017-07,7.2,18,10,7.42,71.3,81.2,61.4
USW00094908,2017-08,6.9,13,6,3.22,66,75.9,56
USW00094908,2017-09,7.6,12,2,1.02,65.1,76.6,53.6
USW00094908,2017-10,11.4,12,6,6.19,53.2,62.1,44.4
USW00094908,2017-11,10.5,11,,0.66,35.6,44.7,26.4
USW00094908,2017-12,11.2,8,1,0.71,22.5,30.1,14.8
USW00094908,2018-01,11.2,15,1,1.19,19.3,27.7,10.9
USW00094908,2018-02,10.7,2,,2.86,21.6,30.5,12.7
USW00094908,2018-03,10.7,13,1,1.84,34.1,43.5,24.7
USW00094908,2018-04,11.4,12,2,1.59,38.8,49,28.7
USW00094908,2018-05,8.7,16,12,5.45,66.1,76.6,55.7
USW00094908,2018-06,8.9,19,10,7.69,71,80,62
USW00094908,2018-07,7.6,13,7,3.55,71.5,81.7,61.4
USW00094908,2018-08,7.4,23,7,7.81,71.4,80.3,62.4
USW00094908,2018-09,8.1,13,10,8.93,64.4,74.3,54.6
USW00094908,2018-10,10.1,14,6,6.42,48.1,57.3,39
USW00094908,2018-11,10.3,13,,1.92,30.1,36,24.2
USW00094908,2018-12,9.6,21,,2.07,29.5,36.5,22.5
USW00094908,2019-01,10.7,20,,2.82,15.6,22.7,8.5
USW00094908,2019-02,11.6,20,1,3.31,17.7,26.3,9
USW00094908,2019-03,11.6,10,,1.69,31.2,39.3,23.1
USW00094908,2019-04,11.9,18,2,4.2,47.8,57.9,37.7
USW00094908,2019-05,9.6,19,9,5.23,56.9,66.5,47.3
USW00094908,2019-06,8.1,19,8,5.5,67.5,77,58
USW00094908,2019-07,8.1,9,6,3.38,74.9,84.3,65.4
USW00094908,2019-08,6,14,5,5.02,68.3,78,58.5
USW00094908,2019-09,9.2,24,12,13.31,66.2,75,57.4
USW00094908,2019-10,10.3,17,3,6.9,46.6,55.9,37.3
USW00094908,2019-11,9.6,23,3,2.15,30.6,37.8,23.3
USW00094908,2019-12,10.3,22,,1.39,30,38.3,21.6
USW00094908,2020-01,10.7,24,,1.79,24.2,30.5,17.9
USW00094908,2020-02,10.5,12,,1.14,23.3,31.3,15.4
USW00094908,2020-03,11.6,19,3,3.23,38.9,46.3,31.6
USW00094908,2020-04,11.6,17,4,1.89,45.5,56.7,34.4
USW00094908,2020-05,10.1,18,5,4.91,56.6,65.9,47.3
USW00094908,2020-06,8.9,10,9,5.09,70.8,80.9,60.7
USW00094908,2020-07,7.2,16,8,3.57,75,84.9,65.1
USW00094908,2020-08,7.4,9,6,1.41,70.7,82.2,59.3
USW00094908,2020-09,9.8,16,4,8.24,60.3,70.5,50.1
USW00094908,2020-10,10.3,11,2,3.1,45.9,56,35.9
USW00094908,2020-11,11.9,11,2,2.89,41.9,52.3,31.5
USW00094908,2020-12,9.2,18,,2.66,26.4,34.2,18.6
USW00094908,2021-01,9.4,25,,1.48,22.1,28.7,15.5
USW00094908,2021-02,10.1,16,,0.8,11.2,19.6,2.7
USW00094908,2021-03,11.9,11,,1.88,39.9,48.5,31.2
USW00094908,2021-04,11.2,7,2,1.91,49.3,59.8,38.8
USW00094908,2021-05,10.3,17,1,2.72,58.1,67.5,48.7
USW00094908,2021-06,8.3,14,5,4.26,72.9,83.6,62.1
USW00094908,2021-07,6.7,21,4,3.23,72.2,81.6,62.7
USW00094908,2021-08,6.5,17,7,5.53,72.3,82.6,62.1
USW00094908,2021-09,8.1,4,1,1.3,65.8,77.7,53.9
USW00094908,2021-10,8.9,15,2,4.28,55.5,64,47
USW00094908,2021-11,11.4,7,1,0.78,37.6,47.2,27.9
USW00094908,2021-12,11.6,12,1,1.69,31.8,39.8,23.8
USW00094908,2022-01,11.9,15,,0.5,13.3,22.7,4
USW00094908,2022-02,13,12,1,0.39,19.9,29.5,10.4
USW00094908,2022-03,11.6,14,2,2.86,36,44.4,27.7
USW00094908,2022-04,14.1,17,3,4.2,43.8,52.5,35
USW00094908,2022-05,11.4,14,3,2.72,62,71.7,52.2
USW00094908,2022-06,8.9,11,5,2.93,70.2,81.1,59.3
USW00094908,2022-07,8.1,12,5,4.92,72.8,82.5,63.1
USW00094908,2022-08,7.6,15,8,5.39,71,80.1,62
USW00094908,2022-09,8.5,13,1,0.61,64,73.9,54.1
USW00094908,2022-10,9.6,10,3,0.98,50.1,62.6,37.6
USW00094908,2022-11,11.9,12,1,3.6,38.2,48,28.5
USW00094908,2022-12,12.3,22,,2.4,23.2,30.9,15.5
USW00094908,2023-01,10.1,26,1,2.38,25.4,31,19.8
